Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size_ml,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Super Lip Liner,Becca,Exfoliator,Monthly,89.22,2.5,8595,30,Dry,Female,Compact,Vitamin C,False,South Korea
Divine Cleanser,KVD Beauty,BB Cream,Monthly,41.47,4.3,108,30,Sensitive,Female,Tube,Shea Butter,False,South Korea
Super Face Mask,Shiseido,Setting Spray,Daily,43.51,3.5,3246,50,Dry,Male,Compact,Glycerin,True,USA
Super Contour,NARS,Highlighter,Daily,70.22,1.4,6921,100,Dry,Female,Stick,Vitamin C,True,Germany
Ultra Serum,Patrick Ta,Moisturizer,Weekly,108.06,3.5,1467,150,Oily,Male,Spray,Retinol,True,Germany
Super Primer,Danessa Myricks,Primer,Weekly,148.83,2.7,7034,50,Normal,Female,Spray,Aloe Vera,False,Australia
Divine Setting Spray,Natasha Denona,BB Cream,Weekly,22.51,3.6,8061,100,Normal,Male,Bottle,Hyaluronic Acid,True,France
Divine Mascara,Sisley,Concealer,Occasional,107.14,2.8,5333,30,Oily,Unisex,Stick,Shea Butter,False,UK
Divine Lip Gloss,Laura Mercier,Cleanser,Occasional,93.49,1.7,1959,250,Sensitive,Female,Tube,Retinol,True,Australia
Super Blush,Sisley,Face Oil,Occasional,57.93,3.2,7353,30,Combination,Unisex,Spray,Retinol,False,Italy
Magic Serum,Huda Beauty,Setting Spray,Occasional,129.56,3.7,7580,150,Normal,Male,Jar,Vitamin C,False,France
Ultra Lip Gloss,Charlotte Tilbury,Contour,Weekly,39.63,3.4,4162,50,Sensitive,Female,Compact,Salicylic Acid,True,USA
Divine Face Oil,Urban Decay,Exfoliator,Occasional,71.49,2.8,770,50,Combination,Unisex,Tube,Shea Butter,True,Japan
Ultra Setting Spray,IT Cosmetics,Setting Spray,Daily,62.75,3.1,2901,150,Sensitive,Female,Compact,Retinol,True,France
Ultra Lip Liner,Bobby Brown,Face Oil,Monthly,88.28,3.1,159,50,Sensitive,Unisex,Stick,Vitamin C,False,Japan
Magic Cleanser,NARS,Face Oil,Daily,94.71,3.9,5860,200,Combination,Female,Compact,Vitamin C,False,Germany
Magic Serum,Morphe,Powder,Occasional,63.46,4.2,2493,150,Oily,Unisex,Jar,Retinol,True,South Korea
Ultra BB Cream,KVD Beauty,Makeup Remover,Weekly,117.39,3.6,709,250,Combination,Male,Jar,Glycerin,False,USA
Magic Lipstick,Tatcha,Eye Shadow,Weekly,53.38,1.7,2607,50,Combination,Unisex,Jar,Shea Butter,True,Australia
Ultra Exfoliator,Bite Beauty,Moisturizer,Daily,71.22,1.5,6782,150,Dry,Male,Stick,Hyaluronic Acid,True,South Korea
Divine Serum,Charlotte Tilbury,Moisturizer,Monthly,26.05,4.4,8170,250,Combination,Male,Tube,Retinol,True,Italy
Perfect Concealer,Kiehl’s,Bronzer,Weekly,136.41,1.3,7205,200,Oily,Female,Bottle,Aloe Vera,False,South Korea
Super Powder,NARS,Contour,Daily,97.91,2.2,7774,200,Oily,Male,Stick,Aloe Vera,False,UK
Divine Mascara,Bourjois,BB Cream,Occasional,148.59,2,3949,250,Normal,Male,Bottle,Retinol,True,Italy
Ultra Face Oil,Tarte,Foundation,Daily,22.49,3.5,9078,30,Sensitive,Male,Compact,Retinol,False,Italy
Perfect Lipstick,Bourjois,Concealer,Weekly,83.7,1.5,7243,30,Oily,Unisex,Tube,Salicylic Acid,True,Australia
Divine Primer,Bite Beauty,Eyeliner,Daily,145.44,2.1,2793,150,Sensitive,Unisex,Jar,Glycerin,True,Japan
Super Contour,Sisley,Concealer,Occasional,128.12,2.9,2377,250,Combination,Unisex,Spray,Hyaluronic Acid,False,Japan
Magic Eye Shadow,Fenty Beauty,Serum,Monthly,122.23,2.4,5600,30,Combination,Female,Bottle,Shea Butter,False,South Korea
Divine Highlighter,Farsali,Moisturizer,Weekly,119.67,4.4,9166,150,Sensitive,Male,Tube,Retinol,True,Italy
Ultra Powder,Clinique,Foundation,Occasional,92.43,1.7,2230,250,Combination,Male,Jar,Vitamin C,False,Australia
Ultra Powder,IT Cosmetics,Exfoliator,Monthly,69.14,4.6,6584,200,Combination,Male,Spray,Hyaluronic Acid,True,USA
Ultra Powder,Bite Beauty,Lip Gloss,Monthly,29.6,3.4,8832,50,Sensitive,Female,Jar,Glycerin,False,Japan
Divine Primer,ColourPop,CC Cream,Daily,67.61,2.4,425,250,Sensitive,Male,Spray,Retinol,True,USA
Perfect Cleanser,Juvia’s Place,Moisturizer,Daily,86.18,4.9,3436,150,Normal,Female,Spray,Glycerin,False,Australia
Super Makeup Remover,Milk Makeup,Contour,Daily,55.52,1.2,5117,100,Dry,Male,Tube,Glycerin,True,USA
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,142.14,3.3,4548,150,Normal,Female,Compact,Shea Butter,False,Germany
Magic Eyeliner,Shiseido,CC Cream,Weekly,149.16,4.4,6158,50,Sensitive,Female,Jar,Shea Butter,True,USA
Divine Cleanser,Sisley,Cleanser,Occasional,52.89,3,9595,150,Sensitive,Female,Stick,Aloe Vera,False,Australia
Ultra Powder,Patrick Ta,Cleanser,Weekly,94.96,1,9200,30,Combination,Unisex,Stick,Retinol,True,Australia
Divine Lip Gloss,Farsali,Face Oil,Monthly,143.49,2.6,8066,100,Sensitive,Male,Stick,Vitamin C,True,UK
Perfect Lip Liner,Huda Beauty,Lip Gloss,Weekly,62.28,3.7,7809,150,Dry,Male,Jar,Glycerin,False,UK
Perfect Eye Shadow,Natasha Denona,CC Cream,Daily,149.85,1.8,7547,200,Combination,Female,Bottle,Shea Butter,True,USA
Super Lip Gloss,Patrick Ta,Bronzer,Weekly,83.63,4.8,3968,30,Sensitive,Male,Spray,Aloe Vera,False,UK
Divine Highlighter,Bourjois,Mascara,Occasional,51.65,2.1,3815,250,Dry,Female,Bottle,Shea Butter,True,Australia
Magic Makeup Remover,Too Faced,Makeup Remover,Monthly,65.46,2.5,1441,200,Oily,Male,Jar,Aloe Vera,False,USA
Perfect Cleanser,Ilia Beauty,Moisturizer,Occasional,47.92,3.9,8471,100,Normal,Female,Compact,Aloe Vera,True,Italy
Ultra Highlighter,Shiseido,Primer,Daily,71.25,4,5749,150,Oily,Female,Bottle,Shea Butter,False,France
Ultra Lipstick,NARS,Powder,Monthly,73.09,4.8,1574,30,Dry,Unisex,Spray,Vitamin C,True,Germany
Super Setting Spray,Farsali,Exfoliator,Weekly,45.01,4.3,7285,150,Dry,Female,Jar,Aloe Vera,False,UK
Magic Powder,Kylie Cosmetics,Mascara,Daily,127.22,3.1,9065,200,Combination,Female,Spray,Hyaluronic Acid,False,Japan
Perfect Setting Spray,Sisley,Face Mask,Occasional,62.17,4.9,4328,50,Dry,Unisex,Jar,Glycerin,False,Germany
Perfect Moisturizer,Rare Beauty,Eye Shadow,Daily,46.09,2.4,7298,250,Dry,Unisex,Tube,Retinol,False,USA
Super Cleanser,Becca,Powder,Daily,132.84,2.1,4276,50,Dry,Unisex,Bottle,Hyaluronic Acid,True,France
Perfect Contour,Farsali,Cleanser,Occasional,70.92,2,5971,200,Dry,Unisex,Tube,Glycerin,True,France
Divine Setting Spray,Bite Beauty,Serum,Daily,46.21,4.5,8829,50,Dry,Female,Spray,Hyaluronic Acid,True,Germany
Super Setting Spray,Ilia Beauty,CC Cream,Occasional,73.99,2.2,7777,150,Normal,Unisex,Jar,Shea Butter,True,Japan
Magic Lip Gloss,Kylie Cosmetics,Blush,Occasional,47.86,1.4,7664,50,Normal,Female,Bottle,Vitamin C,True,South Korea
Perfect Highlighter,Milk Makeup,Primer,Daily,103.84,3.3,1206,200,Oily,Female,Stick,Hyaluronic Acid,False,USA
Perfect Concealer,Juvia’s Place,Moisturizer,Monthly,40.17,2.1,6895,150,Combination,Female,Tube,Salicylic Acid,True,Australia
Magic Lip Liner,RMS Beauty,Contour,Monthly,43.28,3.4,1567,30,Normal,Female,Bottle,Vitamin C,True,Australia
Magic Powder,Becca,Concealer,Occasional,108.74,4,5921,30,Sensitive,Female,Stick,Aloe Vera,False,UK
Ultra Lip Gloss,Kiehl’s,Eye Shadow,Weekly,78.36,1.9,3534,30,Normal,Male,Tube,Aloe Vera,False,USA
Ultra Exfoliator,Laura Mercier,Makeup Remover,Daily,46.74,1.2,6838,200,Sensitive,Female,Jar,Shea Butter,True,USA
Super BB Cream,RMS Beauty,Moisturizer,Weekly,97.76,1.9,7701,150,Combination,Male,Spray,Glycerin,True,Germany
Super Eyeliner,Charlotte Tilbury,Concealer,Weekly,137.54,1.9,2124,50,Combination,Male,Bottle,Glycerin,True,Australia
Ultra Lip Liner,Morphe,Primer,Occasional,92.26,1.3,9864,200,Dry,Female,Bottle,Hyaluronic Acid,True,USA
Divine Concealer,Tarte,Lipstick,Monthly,79.18,1,7201,150,Combination,Unisex,Compact,Salicylic Acid,False,Italy
Perfect Mascara,ColourPop,Blush,Weekly,83.29,2.3,4336,150,Dry,Unisex,Compact,Salicylic Acid,False,Japan
Ultra Primer,Becca,Foundation,Monthly,64.4,4,6745,50,Dry,Male,Bottle,Hyaluronic Acid,True,USA
Perfect Exfoliator,E.l.f.,Face Oil,Monthly,133.83,2.5,2589,100,Dry,Male,Jar,Shea Butter,False,USA
Ultra Eyeliner,Bobby Brown,Eyeliner,Monthly,11.24,3.1,8830,50,Sensitive,Female,Spray,Glycerin,False,UK
Super Eye Shadow,Patrick Ta,Mascara,Daily,23.43,4.8,5322,250,Dry,Unisex,Spray,Salicylic Acid,False,UK
Magic Mascara,Urban Decay,BB Cream,Weekly,57.18,2.1,1421,100,Oily,Unisex,Stick,Glycerin,True,UK
Divine Primer,Kiehl’s,Serum,Weekly,102.88,4.6,9311,50,Oily,Male,Stick,Hyaluronic Acid,False,USA
Perfect Concealer,Becca,Powder,Monthly,142.44,4.2,451,100,Combination,Male,Spray,Hyaluronic Acid,False,USA
Perfect Lip Liner,Laura Mercier,Concealer,Monthly,39.89,4.6,3914,200,Normal,Male,Stick,Aloe Vera,False,South Korea
Super Exfoliator,Drunk Elephant,Lip Liner,Monthly,23.98,1.5,8320,150,Combination,Female,Compact,Salicylic Acid,False,Japan
Super Eyeliner,KVD Beauty,Face Mask,Occasional,112.59,4.7,7668,200,Oily,Female,Bottle,Vitamin C,False,Italy
Super Makeup Remover,Anastasia Beverly Hills,Exfoliator,Daily,148.49,1.1,3368,100,Dry,Unisex,Spray,Retinol,False,France
Perfect Eye Shadow,Glossier,BB Cream,Monthly,33.77,4.3,442,30,Combination,Unisex,Jar,Shea Butter,True,South Korea
Ultra Cleanser,Ilia Beauty,Face Oil,Daily,27.29,3.5,6783,30,Oily,Unisex,Tube,Hyaluronic Acid,False,France
Perfect Lip Liner,Charlotte Tilbury,Face Oil,Monthly,147.41,4.5,2448,30,Oily,Female,Stick,Retinol,True,France
Magic Setting Spray,Huda Beauty,Bronzer,Occasional,45.24,1.6,9014,150,Sensitive,Female,Tube,Vitamin C,False,Australia
Perfect Mascara,Perricone MD,Contour,Daily,13.42,1.3,6389,50,Sensitive,Female,Jar,Glycerin,True,Australia
Magic Serum,Tatcha,BB Cream,Occasional,44.25,3.6,7779,200,Sensitive,Male,Jar,Shea Butter,False,Japan
Magic Highlighter,Too Faced,Face Oil,Weekly,100.75,2,270,250,Sensitive,Female,Bottle,Salicylic Acid,True,South Korea
Divine Moisturizer,E.l.f.,Highlighter,Weekly,40.73,2.9,4891,200,Dry,Female,Compact,Shea Butter,True,Italy
Magic Contour,Juvia’s Place,Highlighter,Daily,82.79,2.2,2172,30,Normal,Female,Bottle,Salicylic Acid,False,Australia
Super Concealer,Milk Makeup,Concealer,Occasional,129.35,4.8,2964,100,Combination,Unisex,Tube,Shea Butter,True,UK
Magic Lipstick,RMS Beauty,Mascara,Weekly,76.05,1.4,9536,200,Normal,Unisex,Compact,Hyaluronic Acid,False,Australia
Divine CC Cream,Bobby Brown,Cleanser,Daily,123.79,2,8183,250,Sensitive,Unisex,Stick,Salicylic Acid,True,Italy
Ultra Lipstick,Bobby Brown,Moisturizer,Daily,113.13,3.6,138,200,Sensitive,Female,Jar,Retinol,True,Germany
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,27.41,1.6,6213,100,Oily,Male,Jar,Salicylic Acid,False,USA
Ultra Eyeliner,Huda Beauty,Eyeliner,Weekly,89.35,2.1,7837,100,Oily,Female,Bottle,Vitamin C,False,Australia
Magic Face Oil,Laura Mercier,Face Oil,Daily,108.45,4.9,7641,200,Sensitive,Female,Spray,Salicylic Acid,False,Australia
Ultra CC Cream,Bite Beauty,Makeup Remover,Daily,55.75,3.6,6536,100,Dry,Male,Stick,Salicylic Acid,False,Italy
Super Face Oil,KVD Beauty,Bronzer,Weekly,148.58,2.8,93,250,Normal,Unisex,Jar,Glycerin,False,France
Ultra Blush,Kiehl’s,Contour,Weekly,115.69,2.2,4621,150,Oily,Unisex,Stick,Hyaluronic Acid,True,USA
Super Face Mask,Too Faced,Concealer,Occasional,71.83,1.8,870,200,Oily,Male,Tube,Hyaluronic Acid,True,France
Divine Cleanser,KVD Beauty,Exfoliator,Weekly,48.37,2.8,5551,250,Combination,Female,Stick,Hyaluronic Acid,True,UK
Super Highlighter,Rare Beauty,BB Cream,Monthly,130.52,1.3,662,250,Combination,Female,Spray,Vitamin C,True,South Korea
Perfect Mascara,Perricone MD,Cleanser,Monthly,24.44,2.6,5826,200,Dry,Unisex,Spray,Vitamin C,False,South Korea
Ultra Eyeliner,Kiehl’s,Lip Gloss,Monthly,136.35,2.1,9142,250,Normal,Unisex,Jar,Aloe Vera,False,Germany
Super Face Oil,Kiehl’s,Lip Gloss,Monthly,21.42,4.3,461,50,Combination,Unisex,Stick,Salicylic Acid,False,Italy
Divine Primer,Hourglass,Face Oil,Daily,18.3,1.5,7630,250,Combination,Unisex,Compact,Retinol,True,Italy
